Date,Close,High,Low,Open,Volume,Asset
2022-10-11,19051.41796875,19241.9609375,18925.603515625,19139.0,28711532910,BTC-USD
2022-10-12,19157.4453125,19203.19921875,19029.7578125,19052.646484375,24950173846,BTC-USD
2022-10-13,19382.904296875,19453.328125,18319.822265625,19156.966796875,44219840004,BTC-USD
2022-10-14,19185.65625,19889.146484375,19115.408203125,19382.533203125,38452356727,BTC-USD
2022-10-15,19067.634765625,19212.541015625,19019.25,19185.4375,16192235532,BTC-USD
2022-10-16,19268.09375,19389.603515625,19068.9140625,19068.9140625,17988916650,BTC-USD
2022-10-17,19550.7578125,19635.802734375,19173.333984375,19268.5625,27472552998,BTC-USD
2022-10-18,19334.416015625,19666.994140625,19144.76953125,19550.466796875,30580012344,BTC-USD
2022-10-19,19139.53515625,19348.416015625,19127.6875,19335.02734375,22425387184,BTC-USD
2022-10-20,19053.740234375,19315.19921875,18971.458984375,19138.0859375,24493974420,BTC-USD
2022-10-21,19172.46875,19237.384765625,18770.970703125,19053.203125,32459287866,BTC-USD
2022-10-22,19208.189453125,19248.068359375,19132.244140625,19172.380859375,16104440957,BTC-USD
2022-10-23,19567.0078125,19646.65234375,19124.197265625,19207.734375,22128794335,BTC-USD
2022-10-24,19345.572265625,19589.125,19206.32421875,19567.76953125,30202235805,BTC-USD
2022-10-25,20095.857421875,20348.412109375,19261.447265625,19344.96484375,47761524910,BTC-USD
2022-10-26,20770.44140625,20938.134765625,20076.1171875,20092.236328125,58895950537,BTC-USD
2022-10-27,20285.8359375,20854.044921875,20255.373046875,20772.802734375,49625110402,BTC-USD
2022-10-28,20595.3515625,20724.98046875,20086.068359375,20287.95703125,43994715910,BTC-USD
